city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Knotts Island,27950,231834.6768707483,1,2073.0,252.0,58821.0,12.156295224312592
La Grange,28551,152806.6495327103,3,15104.0,2366.0,37293.0,15.664724576271185
Lake Lure,28746,389705.27843137254,1,2371.0,140.0,60400.0,5.904681568958246
Lake Lure,28756,321315.7840909091,3,4715.0,264.0,49452.0,5.59915164369035
Lake Toxaway,28747,725807.7988826815,1,2243.0,397.0,36653.0,17.699509585376727
Landis,28088,175258.37647058823,2,2746.0,373.0,53949.0,13.58339402767662
Laurel Hill,28351,98439.20408163265,2,4698.0,873.0,36949.0,18.582375478927204
Laurinburg,28352,137024.05782312926,10,25760.0,6870.0,33657.0,26.669254658385093
Lawsonville,27022,170241.226519337,2,1099.0,50.0,41078.0,4.549590536851683
Leicester,28748,266059.66171003715,1,12613.0,1974.0,46075.0,15.650519305478475
Leland,28451,311994.6298076923,5,33435.0,4738.0,55357.0,14.170779123672798
Lenoir,28645,173522.99236641222,13,46604.0,8246.0,38697.0,17.693760192258175
Lewisville,27023,302547.97959183675,1,13088.0,911.0,75208.0,6.96057457212714
Lexington,27292,178763.17006802722,16,39649.0,7520.0,41315.0,18.966430426996897
Lexington,27295,193566.60544217686,11,38511.0,5256.0,49195.0,13.648048609488198
Liberty,27298,196359.73180076628,3,10052.0,1586.0,45095.0,15.777954635893355
Lillington,27546,210043.99462365592,5,21313.0,3777.0,48737.0,17.72157837939286
Lincolnton,28092,189093.7380952381,15,39710.0,7532.0,47971.0,18.967514479979855
Linden,28356,201309.05102040817,1,4890.0,392.0,67609.0,8.01635991820041
Littleton,27850,352248.99319727893,2,7244.0,987.0,42176.0,13.625069022639424
Locust,28097,196644.9387755102,2,6074.0,628.0,57782.0,10.339150477444846
Louisburg,27549,196287.27027027027,8,25645.0,4465.0,47667.0,17.410801325794502
Lowell,28098,160158.315018315,2,3629.0,747.0,51206.0,20.584182970515293
Lowgap,27024,169974.90760869565,1,3148.0,557.0,41161.0,17.69377382465057
Lucama,27851,157024.82065217392,2,5356.0,892.0,48547.0,16.654219566840926
Lumber Bridge,28357,111670.17142857143,2,2682.0,738.0,32060.0,27.516778523489933
Lumberton,28358,148481.5,13,38760.0,10467.0,37858.0,27.004643962848295
Lumberton,28360,142147.65151515152,3,14931.0,3443.0,37608.0,23.0594066037104
Madison,27025,162625.5174825175,4,11387.0,1287.0,47147.0,11.302362343022745
Maiden,28650,165165.78911564627,4,11106.0,1458.0,50092.0,13.12803889789303
Manteo,27954,369347.5778546713,3,7389.0,372.0,52626.0,5.034510759236703
Marion,28752,181120.26470588235,11,30591.0,4972.0,41632.0,16.25314635023373
Mars Hill,28754,239452.22108843538,2,10138.0,1781.0,45428.0,17.56756756756757
Marshall,28753,219440.5503875969,4,9937.0,1411.0,40883.0,14.199456576431519
Marshville,28103,217578.81851851853,4,11397.0,1096.0,55116.0,9.616565762920066
Matthews,28105,243797.02380952382,9,45786.0,3056.0,75329.0,6.674529332110252
Maxton,28364,71241.92222222222,4,15183.0,4610.0,33462.0,30.36290588157808
Mayodan,27027,128608.37412587412,1,4382.0,889.0,32183.0,20.287539936102235
Maysville,28555,145796.5113122172,2,4767.0,1124.0,47527.0,23.578770715334592
Mc Adenville,28101,298325.9012345679,1,826.0,71.0,60294.0,8.595641646489103
Mebane,27302,223146.45578231293,7,31331.0,4022.0,56230.0,12.837126168970029
Middlesex,27557,143455.8088235294,1,7558.0,1492.0,43098.0,19.74067213548558
Midland,28107,239966.97959183675,1,7380.0,616.0,70086.0,8.346883468834688
Millers Creek,28651,139265.14965986394,2,7419.0,1829.0,35919.0,24.65291818304354
Mills River,28759,349070.88976377953,2,7488.0,547.0,63547.0,7.305021367521368
Minnesott Beach,28510,328929.8771929825,1,1503.0,77.0,57381.0,5.123087159015303
Mint Hill,28227,225441.268707483,8,55769.0,6836.0,57752.0,12.257705893955423
Mocksville,27028,218985.7243243243,9,26044.0,4497.0,48167.0,17.2669328828137
Moncure,27559,255741.917562724,1,2225.0,153.0,68264.0,6.876404494382022
Monroe,28110,215883.66666666666,13,53520.0,7503.0,57969.0,14.019058295964125
Monroe,28112,187795.11111111112,10,26999.0,3806.0,52745.0,14.096818400681506
Mooresboro,28114,108941.94217687075,1,7139.0,1588.0,38944.0,22.24401176635383
Mooresville,28115,230969.42592592593,12,37023.0,3765.0,62252.0,10.169354185236203
Mooresville,28117,416249.8185185185,7,39278.0,2376.0,85591.0,6.0491878405214115
Moravian Falls,28654,117118.80952380953,2,3100.0,261.0,45081.0,8.419354838709678
Morehead City,28557,276823.6088435374,6,15204.0,1663.0,54528.0,10.937911076032623
Morganton,28655,179896.73577235773,18,54594.0,9698.0,43435.0,17.763856834084333
Morrisville,27560,282234.1700680272,3,32801.0,2020.0,93440.0,6.158348830828329
Mount Airy,27030,155498.77037037036,11,35843.0,6440.0,36859.0,17.967246045252907
Mount Airy,27053,141822.97177419355,2,2973.0,345.0,44967.0,11.60443995963673
Mount Holly,28120,211908.38827838827,5,21119.0,2111.0,56234.0,9.99573843458497
Mount Olive,28365,123978.23809523809,4,16886.0,5103.0,44209.0,30.220300840933316
Mount Pleasant,28124,231912.4931972789,3,6192.0,514.0,59167.0,8.301033591731265
Mount Ulla,28125,335227.4022556391,2,2262.0,161.0,63603.0,7.117595048629531
Moyock,27958,267856.0850340136,2,10988.0,745.0,84575.0,6.780123771386967
Nags Head,27959,357526.660899654,2,2908.0,238.0,58803.0,8.184319119669876
Nashville,27856,181638.8,3,16488.0,2308.0,52729.0,13.998059194565746
Nebo,28761,304902.03921568627,1,7671.0,1145.0,37889.0,14.926345978360056
New Bern,28560,195169.69727891157,5,27590.0,5108.0,46133.0,18.51395433127945
New Bern,28562,245359.3231292517,8,38598.0,3744.0,57592.0,9.699984455153118
Newport,28570,241634.77210884355,5,21590.0,2585.0,51569.0,11.973135710977305
Newton,28658,166723.4455782313,9,27479.0,3471.0,46977.0,12.63146402707522
North Wilkesboro,28659,121914.35034013605,4,21229.0,5178.0,33832.0,24.391163031701918
Norwood,28128,244637.24829931973,4,7056.0,883.0,45689.0,12.514172335600907
Oak Ridge,27310,380253.5544217687,1,7290.0,153.0,117039.0,2.0987654320987654
Oakboro,28129,180064.1156462585,2,5287.0,433.0,50609.0,8.189899754113863
Old Fort,28762,161236.66666666666,1,6958.0,1546.0,37845.0,22.219028456453003
Olin,28660,211931.4624505929,2,1878.0,162.0,45165.0,8.626198083067091
Orrum,28369,105867.63636363637,1,2865.0,764.0,29848.0,26.666666666666668
Oxford,27565,199166.40136054423,10,25375.0,3947.0,47056.0,15.554679802955665
Parkton,28371,175605.93537414967,1,7249.0,1331.0,50523.0,18.361153262518968
Pembroke,28372,123807.28787878787,5,14022.0,3627.0,29399.0,25.866495507060332
Pendleton,27862,88864.41134751773,1,649.0,124.0,37500.0,19.106317411402156
Pikeville,27863,171287.2857142857,3,12855.0,1560.0,56724.0,12.135355892648775
Pilot Mountain,27041,191150.8063063063,4,7947.0,1439.0,41771.0,18.107461935321506
Pine Hall,27042,155669.62380952382,1,610.0,17.0,55156.0,2.7868852459016393
Pine Level,27568,174570.712,1,596.0,25.0,45263.0,4.194630872483222
Pinehurst,28374,384267.3724489796,1,17190.0,443.0,82312.0,2.5770796974985455
Pinetops,27864,71733.55252918288,3,4911.0,871.0,40455.0,17.735695377723477
Pinetown,27865,143659.061302682,2,2168.0,290.0,63917.0,13.376383763837637
Pineville,28134,223854.08163265305,2,11049.0,1201.0,57047.0,10.869761969408996
Pinnacle,27043,201657.18027210885,2,7094.0,884.0,51510.0,12.461234846349027
Pittsboro,27312,371272.39426523296,4,20368.0,1706.0,72315.0,8.375883739198743
Pleasant Garden,27313,223730.20408163266,1,7134.0,645.0,61914.0,9.04121110176619
Pollocksville,28573,152710.3556701031,1,2053.0,491.0,44083.0,23.9162201656113
Poplar Branch,27965,169825.95238095237,1,693.0,147.0,41250.0,21.21212121212121
Princeton,27569,174999.99264705883,2,7942.0,1380.0,43958.0,17.375975824729288
Raeford,28376,184808.3817204301,11,44328.0,7967.0,49480.0,17.972838837754917
Raleigh,27601,299460.34353741497,6,10445.0,2737.0,36781.0,26.203925323121112
Raleigh,27603,263656.1836734694,6,53803.0,9560.0,64087.0,17.76852591862907
Raleigh,27604,197084.46598639456,6,47761.0,6634.0,58626.0,13.889993928100333
Raleigh,27605,527420.1259259259,4,5490.0,725.0,62479.0,13.20582877959927
